,İlan Numarası,İlan Oluşturma Tarihi,İlan Güncelleme Tarihi,Türü,Kategorisi,Tipi,Net Metrekare,Brüt Metrekare,Oda Sayısı,Binanın Yaşı,Bulunduğu Kat,Binanın Kat Sayısı,Isıtma Tipi,Kullanım Durumu,Aidat,Tapu Durumu,Site İçerisinde,Depozito,Banyo Sayısı,Banyo Metrekare,Balkon Durumu,Balkon Sayısı,Balkon Tipi,Balkon Metrekare,WC Sayısı,WC Metrekare,Fiyat Durumu,Ada,Parsel,Price,Location,link,Yapı Durumu,Yapı Tipi,Eşya Durumu,Takas,Görüntülü Gezilebilir mi?,Salon Metrekare
10,17114030,05 Nisan 2025,05 Nisan 2025,Konut,Kiralık,Daire,50 m²,70 m²,1+1,4,15.Kat,22,Merkezi (Pay Ölçer),Boş,,Kat Mülkiyeti,Evet,,1,,,,,,,,Genel Fiyat,,,38.000TL, Kadıköy - Fikirtepe Mahallesi,https://www.emlakjet.com//ilan/fikirtepe-optimist-rezidans-kiralik-11-esyali-deniz-manzarali-17114030/,,,Eşyalı,Yok,,
11,17113932,05 Nisan 2025,05 Nisan 2025,Konut,Kiralık,Daire,175 m²,195 m²,3+1,11-15,5.Kat,8,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Evet,,2,,,,,,,,Genel Fiyat,,,58.000TL, Beylikdüzü - Adnan Kahveci Mahallesi,https://www.emlakjet.com//ilan/beylikduzu-beykent-te-lux-sitede-full-esyali-kiralik-31-195m-17113932/,,,Eşyalı,Yok,,
12,17113909,05 Nisan 2025,05 Nisan 2025,Konut,Kiralık,Daire,80 m²,100 m²,2+1,0 (Yeni),1.Kat,5,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,2,,,,,,,,Genel Fiyat,,,30.000TL, Eyüpsultan - Rami Yeni Mahallesi,https://www.emlakjet.com//ilan/rami-yeni-mahallede-sifir-binada-asansorlu-arakat-kiralik-daire-17113909/,,,Boş,Yok,,
13,17113904,05 Nisan 2025,05 Nisan 2025,Konut,Kiralık,Daire,100 m²,110 m²,2+1,21 Ve Üzeri,2.Kat,3,Kombi Doğalgaz,Boş,,Kooperatiften Tapu,Hayır,,1,,,,,,,,Genel Fiyat,,,28.000TL, Beykoz - İncirköy Mahallesi,https://www.emlakjet.com//ilan/beykoz-pasabahce-de-21-ara-kat-mustakil-girisli-kiralik-daire-17113904/,,,Boş,Yok,,
14,17113858,05 Nisan 2025,05 Nisan 2025,Konut,Kiralık,Daire,35 m²,43 m²,Stüdyo,5-10,19.Kat,30,Merkezi (Pay Ölçer),Boş,,Kat Mülkiyeti,Evet,,1,,,,,,,,Genel Fiyat,,,12.000TL, Esenyurt - Zafer Mahallesi,https://www.emlakjet.com//ilan/sembol-istanbul-da-esyali-kiralik-studyo-daire-17113858/,,,Eşyalı,Yok,,
15,17113833,05 Nisan 2025,05 Nisan 2025,Konut,Kiralık,Daire,80 m²,95 m²,2+1,5-10,Çatı Katı,4,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,1,,,,,,,,Genel Fiyat,,,15.000TL, Arnavutköy - Anadolu Mahallesi,https://www.emlakjet.com//ilan/arnavutkoy-anadolu-mahallesinde-kiralik-21-cati-dubleks-17113833/,,,Boş,Yok,,
16,17113822,05 Nisan 2025,05 Nisan 2025,Konut,Kiralık,Daire,75 m²,80 m²,2+1,5-10,Bahçe Katı,4,Kombi Doğalgaz,Boş,,Kat İrtifakı,Hayır,,2,,,,,,,,Genel Fiyat,,,16.000TL, Avcılar - Mustafa Kemal Paşa Mahallesi,https://www.emlakjet.com//ilan/metrobuse-yakin-cift-bahceli-21-17113822/,,,Boş,Yok,,
17,17113808,05 Nisan 2025,05 Nisan 2025,Konut,Kiralık,Daire,80 m²,95 m²,2+1,16-20,Yüksek Giriş,3,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,1,,,,,,,,Genel Fiyat,,,22.000TL, Pendik - Dumlupınar Mahallesi,https://www.emlakjet.com//ilan/pendik-dumlupinarda-metroya-5dk-ici-yenilenmis-kiralik-21-daire-17113808/,,,Boş,Yok,,
18,17113739,05 Nisan 2025,05 Nisan 2025,Konut,Kiralık,Daire,60 m²,75 m²,1+1,5-10,3.Kat,3,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,1,,,,,,,,Genel Fiyat,,,17.000TL, Eyüpsultan - Akşemsettin Mahallesi,https://www.emlakjet.com//ilan/gurcan-sokak-11-1-yillik-kiralik-daire-aciklamayi-okuyun-17113739/,,,Boş,Yok,,
19,17113735,05 Nisan 2025,05 Nisan 2025,Konut,Kiralık,Daire,100 m²,125 m²,2+1,5-10,Düz Giriş (Zemin),5,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,1,,,,,,,,Genel Fiyat,,,25.000TL, Eyüpsultan - Çırçır Mahallesi,https://www.emlakjet.com//ilan/circir-metroya-2-dk-21-yaz-kis-bahceli-ici-yapili-ters-dubleks-17113735/,,,Boş,Yok,,
20,17113688,05 Nisan 2025,05 Nisan 2025,Konut,Kiralık,Daire,85 m²,95 m²,2+1,5-10,1.Kat,5,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,1,,,,,,,,Genel Fiyat,,,31.000TL, Ümraniye - Çakmak Mahallesi,https://www.emlakjet.com//ilan/umraniye-cakmak-kiralik-21-genis-daire-17113688/,,,Boş,Yok,,
21,17113680,05 Nisan 2025,05 Nisan 2025,Konut,Kiralık,Daire,60 m²,70 m²,1+1,16-20,12.Kat,29,Merkezi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,1,,,,,,,,Genel Fiyat,,,37.500TL, Ataşehir - Küçükbakkalköy Mahallesi,https://www.emlakjet.com//ilan/atasehir-flora-residence-11-metroya-yakin-17113680/,,,Eşyalı,Yok,,
22,17113624,05 Nisan 2025,05 Nisan 2025,Konut,Kiralık,Daire,75 m²,85 m²,2+1,0 (Yeni),2.Kat,4,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,1,,,,,,,,Genel Fiyat,,,20.000TL, Silivri - Fatih Mahallesi,https://www.emlakjet.com//ilan/sifir-hic-oturulmamis-kiralik-daireler-11-de-dairemiz-vardir-17113624/,,,Boş,Yok,,
23,17113623,05 Nisan 2025,05 Nisan 2025,Konut,Kiralık,Daire,70 m²,75 m²,1+1,0 (Yeni),Düz Giriş (Zemin),4,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,1,,,,,,,,Genel Fiyat,,,15.000TL, Silivri - Fatih Mahallesi,https://www.emlakjet.com//ilan/sifir-hic-oturulmamis-kiralik-daireler-11-ve-21-mevcut-17113623/,,,Boş,Yok,,
24,17113607,04 Nisan 2025,04 Nisan 2025,Konut,Kiralık,Daire,90 m²,100 m²,2+1,5-10,Düz Giriş (Zemin),4,Kombi Doğalgaz,Boş,1000 TL,Yabancıdan,Hayır,36000 TL,1,,Yok,,,,1,,Genel Fiyat,,,18.000TL, Beylikdüzü - Sahil Mahallesi,https://www.emlakjet.com//ilan/beylikduzu-kavaklida-sahil-mah-kiralik-21-giris-kat-daire-butik-site-17113607/,İkinci El,Betonarme,Boş,Yok,Evet,
25,17113439,04 Nisan 2025,05 Nisan 2025,Konut,Kiralık,Daire,120 m²,140 m²,4+1,21 Ve Üzeri,2.Kat,2,Kombi Doğalgaz,Boş,,Kat İrtifakı,Hayır,,1,,,,,,,,Genel Fiyat,,,19.500TL, Tuzla - Mimar Sinan Mahallesi,https://www.emlakjet.com//ilan/tuzla-mimarsinan-da-merkezi-konumda-41-120m2-kiralik-daire-17113439/,,,Boş,Yok,,
26,17113438,04 Nisan 2025,04 Nisan 2025,Konut,Kiralık,Daire,70 m²,80 m²,2+1,21 Ve Üzeri,Bahçe Katı,3,Sobalı,Boş,,Kat İrtifakı,Hayır,,1,,,,,,,,Genel Fiyat,,,14.000TL, Tuzla - Mimar Sinan Mahallesi,https://www.emlakjet.com//ilan/tuzla-mimar-sinan-da-kiralik-daireler-17113438/,,,Boş,Yok,,
27,17113420,04 Nisan 2025,04 Nisan 2025,Konut,Kiralık,Daire,135 m²,145 m²,3+1,5-10,3.Kat,5,Kombi Doğalgaz,Mülk Sahibi Oturuyor,300 TL,Kooperatiften Tapu,Hayır,24000 TL,1,,Var,1,Açık Balkon,,1,,Genel Fiyat,,,24.000TL, Maltepe - İdealtepe Mahallesi,https://www.emlakjet.com//ilan/sahibinden-kiralik-daire-17113420/,İkinci El,Betonarme,Boş,Var,Evet,
28,17113296,04 Nisan 2025,04 Nisan 2025,Konut,Kiralık,Daire,95 m²,105 m²,2+1,21 Ve Üzeri,1.Kat,4,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,1,,,,,,,,Genel Fiyat,,,25.000TL, Eyüpsultan - İslambey Mahallesi,https://www.emlakjet.com//ilan/islambey-mah-islambey-cad-tam-uzerinde-21-105-m2-kiralik-daire-17113296/,,,Boş,Yok,,
29,17113286,04 Nisan 2025,04 Nisan 2025,Konut,Kiralık,Daire,100 m²,105 m²,2+1,4,1.Kat,2,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,1,,,,,,,,Genel Fiyat,,,20.000TL, Arnavutköy - Mavigöl Mahallesi,https://www.emlakjet.com//ilan/tekbaslar-dan-mavigol-de-kullanisli-ferah-genis-kiralik-daire-17113286/,,,Boş,Yok,,
30,17113185,04 Nisan 2025,04 Nisan 2025,Konut,Kiralık,Daire,60 m²,70 m²,2+1,21 Ve Üzeri,Düz Giriş (Zemin),4,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,1,,,,,,,,Genel Fiyat,,,30.000TL, Beşiktaş - Yıldız Mahallesi,https://www.emlakjet.com//ilan/besiktas-ciragan-da-otopark-sorunu-olmayan-tertemiz-21-daire-17113185/,İkinci El,Betonarme,,Yok,,
31,17113134,04 Nisan 2025,04 Nisan 2025,Konut,Kiralık,Daire,40 m²,45 m²,1+1,21 Ve Üzeri,3.Kat,3,Sobalı,Boş,,Bilinmiyor,Hayır,,1,,,,,,,,Genel Fiyat,,,16.000TL, Fatih - Ayvansaray Mahallesi,https://www.emlakjet.com//ilan/balatta-kiralik-11-daire-17113134/,İkinci El,Kagir,,Yok,,
32,17113075,04 Nisan 2025,04 Nisan 2025,Konut,Kiralık,Daire,50 m²,70 m²,1+1,5-10,7.Kat,8,Merkezi (Pay Ölçer),Boş,2894 TL,Kat Mülkiyeti,Evet,30000 TL,2,,Yok,,,,2,,Genel Fiyat,9974,1,21.000TL, Pendik - Kurtköy Mahallesi,https://www.emlakjet.com//ilan/city-life-kurtkoy-ankasreli-cift-banyolu-ara-kat-kiralik-11-havuzlu-17113075/,İkinci El,Betonarme,Boş,,Evet,
33,17113020,04 Nisan 2025,04 Nisan 2025,Konut,Kiralık,Daire,55 m²,60 m²,1+1,21 Ve Üzeri,2.Kat,3,Kombi Doğalgaz,Boş,,Kat İrtifakı,Hayır,,1,,,,,,,,Genel Fiyat,,,15.000TL, Beyoğlu - Halıcıoğlu Mahallesi,https://www.emlakjet.com//ilan/yilmaz-grouptan-metrobus-yaninda-arakat-11-daire-17113020/,,,Boş,Yok,,
34,17112992,04 Nisan 2025,04 Nisan 2025,Konut,Kiralık,Daire,93 m²,108 m²,3+1,21 Ve Üzeri,3.Kat,4,Kombi Doğalgaz,Boş,,Arsa Tapulu,Hayır,,1,,,,,,,,Genel Fiyat,,,22.000TL, Pendik - Kaynarca Mahallesi,https://www.emlakjet.com//ilan/kaynarca-da-marmaray-a-carsiya-yakin-kiralik-31-daire-17112992/,,,Boş,Yok,,
35,17112976,04 Nisan 2025,04 Nisan 2025,Konut,Kiralık,Daire,50 m²,65 m²,1+1,5-10,13.Kat,15,Merkezi (Pay Ölçer),Boş,,Kat Mülkiyeti,Evet,,1,,,,,,,,Genel Fiyat,,,14.500TL, Esenyurt - Cumhuriyet Mahallesi,https://www.emlakjet.com//ilan/sonsuz-yapidan-metrobuse-5-dk-yurume-mesafesinde-daire-17112976/,,,Boş,Yok,,
36,17112966,04 Nisan 2025,04 Nisan 2025,Konut,Kiralık,Daire,80 m²,90 m²,2+1,21 Ve Üzeri,Düz Giriş (Zemin),5,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,2,,,,,,,,Genel Fiyat,,,15.000TL, Silivri - Mimar Sinan Mahallesi,https://www.emlakjet.com//ilan/silivri-kumluk-bolgesinde-kiralik-esyali-21-daire-17112966/,,,Eşyalı,Yok,,
37,17112965,04 Nisan 2025,04 Nisan 2025,Konut,Kiralık,Daire,119 m²,120 m²,3+1,21 Ve Üzeri,5.Kat,6,Kombi Doğalgaz,Boş,,Tapu Kaydı Yok,Hayır,,1,,,,,,,,Genel Fiyat,,,20.000TL, Silivri - Piri Mehmet Paşa Mahallesi,https://www.emlakjet.com//ilan/silivri-merkezde-kiralik-31-daire-17112965/,,,Boş,Yok,,
38,17112954,04 Nisan 2025,04 Nisan 2025,Konut,Kiralık,Daire,70 m²,75 m²,2+1,5-10,1.Kat,11,Merkezi Doğalgaz,Boş,,Kat Mülkiyeti,Evet,,1,,,,,,,,Genel Fiyat,,,20.500TL, Küçükçekmece - Halkalı Merkez Mahallesi,https://www.emlakjet.com//ilan/halkali-merkez-mahallesin-de-site-icinde-21-kiralik-daire-17112954/,,,Boş,Yok,,
39,17112912,04 Nisan 2025,04 Nisan 2025,Konut,Kiralık,Daire,95 m²,100 m²,2+1,21 Ve Üzeri,4.Kat,4,Kombi Doğalgaz,Boş,10 TL,Kooperatiften Tapu,Hayır,20000 TL,1,,,,,,,,Genel Fiyat,,,20.000TL, Sultangazi - Sultançiftliği Mahallesi,https://www.emlakjet.com//ilan/sultanciftligi-mah-21-100m2-4-kat-kira20-000-17112912/,,,,,,
40,17112903,04 Nisan 2025,04 Nisan 2025,Konut,Kiralık,Daire,85 m²,100 m²,2+1,21 Ve Üzeri,1.Kat,2,Klimalı,Boş,,Bilinmiyor,Hayır,,1,,,,,,,,Genel Fiyat,,,20.000TL, Kartal - Yakacık Çarşı Mahallesi,https://www.emlakjet.com//ilan/kiralik-21-esyali-daire-17112903/,,,,Yok,,
41,17112899,04 Nisan 2025,04 Nisan 2025,Konut,Kiralık,Daire,80 m²,85 m²,2+1,21 Ve Üzeri,Bahçe Katı,4,Kombi Doğalgaz,Boş,10 TL,Kooperatiften Tapu,Hayır,11000 TL,1,,,,,,,,Genel Fiyat,,,11.000TL, Sultangazi - Uğur Mumcu Mahallesi,https://www.emlakjet.com//ilan/ugurmumcu-mah-21-85m2-bodrum-kira11-000-17112899/,,,,,,
42,17112873,04 Nisan 2025,04 Nisan 2025,Konut,Kiralık,Daire,110 m²,120 m²,2+1,4,3.Kat,5,Kombi Doğalgaz,Boş,250 TL,Kooperatiften Tapu,Hayır,20000 TL,1,,Var,1,Kapalı Balkon,,,,Genel Fiyat,,,17.000TL, Bahçelievler - Bahçelievler Mahallesi,https://www.emlakjet.com//ilan/2-oda-1-salon-kiralik-daire-sahibinden-gece-4e-kadar-arayabilirsiniz-17112873/,,,Boş,,,
43,17112872,04 Nisan 2025,04 Nisan 2025,Konut,Kiralık,Daire,85 m²,90 m²,2+1,5-10,Kot 1 (-1).Kat,6,Kombi Doğalgaz,Boş,250 TL,Kat Mülkiyeti,Hayır,20000 TL,2,,Yok,,,,1,,Genel Fiyat,746,17,20.000TL, Eyüpsultan - Karadolap Mahallesi,https://www.emlakjet.com//ilan/eyup-alibeykoy-de-21-kiralik-daire-17112872/,İkinci El,,Boş,Yok,Hayır,
44,17112869,04 Nisan 2025,04 Nisan 2025,Konut,Kiralık,Daire,50 m²,60 m²,2+1,21 Ve Üzeri,Bahçe Katı,4,Kombi Doğalgaz,Boş,,Kat İrtifakı,Hayır,,2,,,,,,,,Birim Fiyat,1911,12,17.000TL, Fatih - Balat Mahallesi,https://www.emlakjet.com//ilan/sahibinden-merkezi-17112869/,,,,,,
45,17112860,04 Nisan 2025,04 Nisan 2025,Konut,Kiralık,Daire,70 m²,80 m²,2+1,21 Ve Üzeri,1.Kat,4,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,1,,,,,,,,Genel Fiyat,,,30.000TL, Üsküdar - Sultantepe Mahallesi,https://www.emlakjet.com//ilan/parlak-tan-cadde-uzeri-metro-duraginin-yaninda-iskeleye-yurume-17112860/,,,Boş,Yok,,
46,17112859,04 Nisan 2025,04 Nisan 2025,Konut,Kiralık,Daire,85 m²,90 m²,2+1,21 Ve Üzeri,3.Kat,4,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,1,,,,,,,,Genel Fiyat,,,25.000TL, Üsküdar - Sultantepe Mahallesi,https://www.emlakjet.com//ilan/parlak-tan-iskeleye-5-dk-yurume-mesafesi-cift-cepheli-sehir-manz-17112859/,,,Boş,Yok,,
47,17112858,04 Nisan 2025,04 Nisan 2025,Konut,Kiralık,Daire,60 m²,65 m²,2+1,21 Ve Üzeri,Düz Giriş (Zemin),4,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,1,,,,,,,,Genel Fiyat,,,19.000TL, Üsküdar - Mimar Sinan Mahallesi,https://www.emlakjet.com//ilan/parlak-tan-merkez-e-yakin-21-uskudar-unv-sokaginda-giris-kat-17112858/,,,Boş,Yok,,
48,17112786,04 Nisan 2025,04 Nisan 2025,Konut,Kiralık,Daire,85 m²,100 m²,3+1,0 (Yeni),4.Kat,5,Yerden Isıtma,Boş,,Kat Mülkiyeti,Hayır,38000 TL,2,,Var,1,Açık Balkon,,2,,Genel Fiyat,,5273,38.000TL, Tuzla - Postane Mahallesi,https://www.emlakjet.com//ilan/kiralik-daire-tuzla-postane-mahallesi-sahibinden-17112786/,Sıfır,Betonarme,Boş,,Hayır,
49,17112718,04 Nisan 2025,04 Nisan 2025,Konut,Kiralık,Daire,70 m²,75 m²,1+1,16-20,4.Kat,4,Kat Kaloriferi,Boş,1 TL,Yabancıdan,Hayır,10000 TL,1,,Var,1,Açık Teras,,,,Genel Fiyat,,,10.000TL, Büyükçekmece - Dizdariye Mahallesi,https://www.emlakjet.com//ilan/buyukcekme-dizdariyede-kiralik-catikati-17112718/,,,,,,
50,17112718,04 Nisan 2025,04 Nisan 2025,Konut,Kiralık,Daire,70 m²,75 m²,1+1,16-20,4.Kat,4,Kat Kaloriferi,Boş,1 TL,Yabancıdan,Hayır,10000 TL,1,,Var,1,Açık Teras,,,,Genel Fiyat,,,10.000TL, Büyükçekmece - Dizdariye Mahallesi,https://www.emlakjet.com//ilan/buyukcekme-dizdariyede-kiralik-catikati-17112718/,,,,,,
51,17112640,04 Nisan 2025,04 Nisan 2025,Konut,Kiralık,Daire,60 m²,70 m²,1+1,5-10,29.Kat,30,Merkezi (Pay Ölçer),Boş,,Kat Mülkiyeti,Evet,,1,,,,,,,,Genel Fiyat,,,38.000TL, Ataşehir - Küçükbakkalköy Mahallesi,https://www.emlakjet.com//ilan/novadan-atasehir-brandiumda-kiralik-11-17112640/,,,Boş,Yok,,
52,17112639,04 Nisan 2025,04 Nisan 2025,Konut,Kiralık,Daire,40 m²,55 m²,1+1,11-15,9.Kat,30,Merkezi (Pay Ölçer),Boş,,Kat Mülkiyeti,Evet,,1,,,,,,,,Genel Fiyat,,,35.000TL, Ataşehir - Örnek Mahallesi,https://www.emlakjet.com//ilan/nova-dan-dumankaya-ikon-da-kiralik-11-17112639/,,,Boş,Yok,,
53,17112588,04 Nisan 2025,04 Nisan 2025,Konut,Kiralık,Daire,90 m²,100 m²,2+1,11-15,11.Kat,15,Kombi Doğalgaz,Boş,,Bilinmiyor,Hayır,34000 TL,1,,,,,,1,,Genel Fiyat,,,17.000TL, Büyükçekmece - Çakmaklı Mahallesi,https://www.emlakjet.com//ilan/buyukcekmece-cakmakli-mah-kiralik-21-90m2-golsehir-sitesi-12-kat-manzarali-17112588/,İkinci El,,Boş,Yok,,
54,17112577,04 Nisan 2025,04 Nisan 2025,Konut,Kiralık,Daire,80 m²,90 m²,2+1,21 Ve Üzeri,Bahçe Katı,5,Kombi Doğalgaz,Kiracı Oturuyor,,Kat İrtifakı,Hayır,,1,,,,,,,,Genel Fiyat,,12300,15.000TL, Bahçelievler - Siyavuşpaşa Mahallesi,https://www.emlakjet.com//ilan/old-city-den-yayla-kana-sk-21-80m2-bahce-kati-kombili-temiz-17112577/,,,,,,
55,17112266,04 Nisan 2025,04 Nisan 2025,Konut,Kiralık,Daire,85 m²,90 m²,2+1,0 (Yeni),2.Kat,4,Kombi Doğalgaz,Boş,1 TL,Yabancıdan,Hayır,25000 TL,1,,Var,,,,,,Genel Fiyat,,,25.000TL, Büyükçekmece - Murat Çeşme Mahallesi,https://www.emlakjet.com//ilan/buyukcekmece-tepecikte-kiralik-daire-17112266/,,,,,,
56,17112157,04 Nisan 2025,04 Nisan 2025,Konut,Kiralık,Daire,50 m²,60 m²,1+1,11-15,Düz Giriş (Zemin),10,Kombi Doğalgaz,Boş,2510 TL,Bilinmiyor,Hayır,30000 TL,1,,,,,,1,,Genel Fiyat,,,15.000TL, Esenyurt - Gökevler Mahallesi,https://www.emlakjet.com//ilan/tuyap-yani-metrobus-son-hera-residance-esyali-kiralik-11-60m2-17112157/,İkinci El,,Eşyalı,Yok,,
57,17112110,04 Nisan 2025,04 Nisan 2025,Konut,Kiralık,Daire,95 m²,100 m²,2+1,16-20,2.Kat,5,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,2,,,,,,,,Genel Fiyat,1226,7,18.000TL, Gaziosmanpaşa - Karadeniz Mahallesi,https://www.emlakjet.com//ilan/gaziosmanpasa-karadeniz-mah-kiralik-bos-21-daire-17112110/,,,,,,
58,17112068,04 Nisan 2025,04 Nisan 2025,Konut,Kiralık,Daire,90 m²,95 m²,2+1,3,4.Kat,4,Kombi Doğalgaz,Boş,,Müstakil Tapulu,Hayır,,1,,,,,,,,Genel Fiyat,,,14.500TL, Silivri - Yeni Mahallesi,https://www.emlakjet.com//ilan/silivri-yeni-mahalle-21-guney-cephe-daire-17112068/,,,Boş,Yok,,
59,17112045,04 Nisan 2025,04 Nisan 2025,Konut,Kiralık,Daire,95 m²,128 m²,2+1,5-10,3.Kat,19,Merkezi (Pay Ölçer),Boş,,Kat Mülkiyeti,Evet,,2,,,,,,,,Genel Fiyat,,,38.000TL, Başakşehir - Başakşehir Mahallesi,https://www.emlakjet.com//ilan/bulvar-istanbul-ebeveyn-banyolu-kiralik-arakat-21-daire-17112045/,,,Boş,Yok,,
