,İlan Numarası,İlan Oluşturma Tarihi,İlan Güncelleme Tarihi,Türü,Kategorisi,Tipi,Net Metrekare,Brüt Metrekare,Oda Sayısı,Binanın Yaşı,Bulunduğu Kat,Binanın Kat Sayısı,Isıtma Tipi,Kullanım Durumu,Eşya Durumu,Tapu Durumu,Site İçerisinde,Takas,Banyo Sayısı,Fiyat Durumu,Price,Location,link,Aidat,Depozito,Balkon Durumu,Balkon Sayısı,Görüntülü Gezilebilir mi?,Ada,Parsel,Balkon Tipi,Yapı Durumu,Yapı Tipi,WC Sayısı,Banyo Metrekare,Balkon Metrekare,Salon Metrekare,WC Metrekare
10,17105116,03 Nisan 2025,04 Nisan 2025,Konut,Kiralık,Daire,25 m²,30 m²,Stüdyo,5-10,4.Kat,4,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,7.000TL, Pamukkale - Kınıklı Mahallesi,https://www.emlakjet.com//ilan/ender-uysaldan-asmalievlerde-asansorlu-balkonlu-10-apart-17105116/,,,,,,3865,24,,,,,,,,
11,17104911,03 Nisan 2025,03 Nisan 2025,Konut,Kiralık,Daire,120 m²,130 m²,3+1,11-15,4.Kat,4,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,15.000TL, Pamukkale - Kınıklı Mahallesi,https://www.emlakjet.com//ilan/ender-uysal-gayrimenkulden-bursa-caddesinde-31-ici-yeni-tadilatli-kiralik-daire-17104911/,,,,,,1631,6,,,,,,,,
12,17104327,03 Nisan 2025,04 Nisan 2025,Konut,Kiralık,Daire,65 m²,75 m²,2+1,5-10,1.Kat,6,Kombi Doğalgaz,Boş,,Kat İrtifakı,Hayır,,1,Genel Fiyat,14.000TL, Merkezefendi - Saraylar Mahallesi,https://www.emlakjet.com//ilan/denizli-otogar-mevki-21-esyali-apartimiz-kiraliktir-17104327/,,,,,,337,9,,,,,,,,
13,17103662,03 Nisan 2025,03 Nisan 2025,Konut,Kiralık,Daire,45 m²,50 m²,1+1,5-10,Düz Giriş (Zemin),3,Yerden Isıtma,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,13.000TL, Pamukkale - Mehmetçik Mahallesi,https://www.emlakjet.com//ilan/mehmetcik-luks-11-kiralik-apart-17103662/,0 TL,13000 TL,Yok,,Hayır,175,11,,İkinci El,Betonarme,1,,,,
14,17101214,03 Nisan 2025,03 Nisan 2025,Konut,Kiralık,Daire,60 m²,65 m²,2+1,4,2.Kat,5,Kombi Doğalgaz,Boş,Eşyalı,Kat Mülkiyeti,Evet,,1,Genel Fiyat,20.000TL, Pamukkale - Asmalıevler Mahallesi,https://www.emlakjet.com//ilan/kampus-point-21site-icersinde-guvenlikli-17101214/,,20000 TL,Var,1,,2375,9,Açık Balkon,,,,10 m²,5 m²,,
15,17100333,02 Nisan 2025,02 Nisan 2025,Konut,Kiralık,Daire,40 m²,45 m²,1+1,4,2.Kat,3,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,10.000TL, Pamukkale - Kınıklı Mahallesi,https://www.emlakjet.com//ilan/ender-uysal-gayrimenkulden-kiniklida-11-kiralik-apart-17100333/,,,,,,2330,25,,,,,,,,
16,17097550,02 Nisan 2025,02 Nisan 2025,Konut,Kiralık,Daire,45 m²,50 m²,1+1,5-10,2.Kat,4,Kombi Doğalgaz,Boş,Eşyalı,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,10.999TL, Pamukkale - Zeytinköy Mahallesi,https://www.emlakjet.com//ilan/redstone-myra-dan-zeytinkoy-de-esyali-kiralik-11-daire-17097550/,,10000 TL,Var,2,Evet,2452,19,,,Betonarme,,,,,
17,17095006,31 Mart 2025,31 Mart 2025,Konut,Kiralık,Daire,105 m²,115 m²,2+1,5-10,2.Kat,3,Kombi Doğalgaz,Boş,Boş,Kat İrtifakı,Hayır,,1,Genel Fiyat,17.500TL, Merkezefendi - Karaman Mahallesi,https://www.emlakjet.com//ilan/okula-markete-pazara-yurume-mesafesinde-arakat-daire-17095006/,,,Var,1,,4774,16,Açık Balkon,,,,,,,
18,17107318,04 Nisan 2025,04 Nisan 2025,Konut,Kiralık,Daire,120 m²,130 m²,2+1,16-20,2.Kat,4,Kombi Doğalgaz,Boş,Boş,Müstakil Tapulu,Hayır,Yok,1,Genel Fiyat,15.000TL, Pamukkale - Mehmetçik Mahallesi,https://www.emlakjet.com//ilan/mehmetcik-mahallesinde-forum-yakini-21-kombili-kiralik-daire-17107318/,,,,,,,,,,,,,,,
19,17106085,04 Nisan 2025,04 Nisan 2025,Konut,Kiralık,Daire,115 m²,130 m²,3+1,5-10,7.Kat,9,Yerden Isıtma,Boş,Boş,Kat Mülkiyeti,Evet,Yok,1,Genel Fiyat,27.500TL, Merkezefendi - Şemikler Mahallesi,https://www.emlakjet.com//ilan/liva-gayrimenkulden-extralife-sitesinde-kiralik-daire-17106085/,,,,,,,,,,,,,,,
20,17094340,31 Mart 2025,02 Nisan 2025,Konut,Kiralık,Daire,40 m²,45 m²,1+1,21 Ve Üzeri,1.Kat,5,Kombi Doğalgaz,Boş,Eşyalı,Bilinmiyor,Hayır,Yok,1,Genel Fiyat,10.000TL, Pamukkale - Mehmetçik Mahallesi,https://www.emlakjet.com//ilan/mehmetcik-te-inonu-caddesi-uzeri-balkonlu-askeriye-isiklari-yakini-11-full-esyali-apart-kiraliktir-17094340/,,,,,,,,,İkinci El,Betonarme,,,,,
21,17093259,30 Mart 2025,04 Nisan 2025,Konut,Kiralık,Daire,44 m²,45 m²,1+1,5-10,1.Kat,3,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,10.000TL, Pamukkale - Siteler Mahallesi,https://www.emlakjet.com//ilan/kz-grup-tan-kiniklida-sitelerde-arakat-11-kiralik-apart-17093259/,,,,,,1817,10,,,,,,,,
22,17092899,30 Mart 2025,03 Nisan 2025,Konut,Kiralık,Daire,135 m²,150 m²,3+1,21 Ve Üzeri,4.Kat,7,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,18.000TL, Merkezefendi - Karaman Mahallesi,https://www.emlakjet.com//ilan/office20-den-kiralik-daire-17092899/,,,,,,,,,,,,,,,
23,17092880,30 Mart 2025,03 Nisan 2025,Konut,Kiralık,Daire,95 m²,110 m²,2+1,5-10,Bahçe Katı,3,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,11.500TL, Pamukkale - Dokuzkavaklar Mahallesi,https://www.emlakjet.com//ilan/ankara-yoluna-yakin-21-firsat-kiralik-daire-17092880/,,,,,,,,,,,,,,,
24,17092823,30 Mart 2025,02 Nisan 2025,Konut,Kiralık,Daire,110 m²,120 m²,2.5+1,5-10,Bahçe Katı,3,Kombi Doğalgaz,Boş,Boş,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,15.000TL, Merkezefendi - Hallaçlar Mahallesi,https://www.emlakjet.com//ilan/saygin-dan-hallaclar-da-bahceli-luks-firsat-kiralik-daire-17092823/,,,,,,,,,,,,,,,
25,17092802,30 Mart 2025,02 Nisan 2025,Konut,Kiralık,Daire,165 m²,170 m²,3+1,16-20,1.Kat,4,Kombi Doğalgaz,Boş,Boş,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,19.000TL, Merkezefendi - Karaman Mahallesi,https://www.emlakjet.com//ilan/karamanda-kanal-yolunda-guzel-konum-kiralik-genis-daire-17092802/,,,,,,,,,,,,,,,
26,17092391,30 Mart 2025,03 Nisan 2025,Konut,Kiralık,Daire,40 m²,60 m²,1+1,4,Düz Giriş (Zemin),2,Yerden Isıtma,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,13.000TL, Pamukkale - Hürriyet Mahallesi,https://www.emlakjet.com//ilan/kayhan-kasaplar-yaninda-mukemmel-bahceli-apart-17092391/,,,,,,,,,,,,,,,
27,17090269,29 Mart 2025,29 Mart 2025,Konut,Kiralık,Daire,160 m²,175 m²,4+1,16-20,7.Kat,7,Merkezi Doğalgaz,Boş,,Tapu Kaydı Yok,Hayır,,2,Genel Fiyat,25.000TL, Pamukkale - Atalar Mahallesi,https://www.emlakjet.com//ilan/ender-uysal-gayrimenkulden-kiralik-lise-caddesin-de-41-dublex-daire-17090269/,,,,,,,,,,,,,,,
28,17089726,29 Mart 2025,02 Nisan 2025,Konut,Kiralık,Daire,150 m²,160 m²,3+1,21 Ve Üzeri,2.Kat,4,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,15.000TL, Merkezefendi - Altıntop Mahallesi,https://www.emlakjet.com//ilan/winox-gayrimenkulden-altintop-mahallesi-nde-31-kiralik-daire-17089726/,,,,,,,,,,,,,,,
29,17088194,28 Mart 2025,02 Nisan 2025,Konut,Kiralık,Daire,50 m²,55 m²,1+1,0 (Yeni),2.Kat,2,Kombi Doğalgaz,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,16.000TL, Pamukkale - Kınıklı Mahallesi,https://www.emlakjet.com//ilan/liva-gayrimenkulden-camlikta-sifir-11-kiralik-apart-17088194/,,,,,,,,,,,,,,,
30,17086642,28 Mart 2025,28 Mart 2025,Konut,Kiralık,Daire,215 m²,225 m²,4+1,5-10,Yüksek Giriş,4,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,2,Genel Fiyat,25.000TL, Pamukkale - Siteler Mahallesi,https://www.emlakjet.com//ilan/ender-uysal-gayrimenkulden-foruma-yakin-41-genis-daire-17086642/,,,,,,2928,2,,,,,,,,
31,17086036,28 Mart 2025,03 Nisan 2025,Konut,Kiralık,Daire,65 m²,75 m²,2+1,0 (Yeni),2.Kat,3,Yerden Isıtma,Boş,Boş,Kat İrtifakı,Hayır,Yok,2,Genel Fiyat,15.500TL, Merkezefendi - Akkonak Mahallesi,https://www.emlakjet.com//ilan/onurhan-emlaktan-akkonakta-ebeveyn-banyolu-sifir-arakat-daire-17086036/,,,,,,,,,,,,,,,
32,17086035,28 Mart 2025,28 Mart 2025,Konut,Kiralık,Daire,90 m²,95 m²,2+1,4,4.Kat,4,Yerden Isıtma,Boş,Boş,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,20.250TL, Merkezefendi - Akkonak Mahallesi,https://www.emlakjet.com//ilan/onurhan-emlaktan-akkonakta-asansorlu-21-yerden-isitma-daire-17086035/,,,,,,,,,,,,,,,
33,17085922,28 Mart 2025,28 Mart 2025,Konut,Kiralık,Daire,40 m²,50 m²,1+1,5-10,1.Kat,3,Merkezi Doğalgaz,Boş,Eşyalı,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,11.500TL, Merkezefendi - Sırakapılar Mahallesi,https://www.emlakjet.com//ilan/cinar-a-cok-yakin-sirakapilar-da-hersey-dahil-apart-17085922/,,,,,,,,,,,,,,,
34,17085919,28 Mart 2025,28 Mart 2025,Konut,Kiralık,Daire,40 m²,45 m²,1+1,5-10,1.Kat,6,Yerden Isıtma,Boş,Eşyalı,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,9.000TL, Merkezefendi - Saraylar Mahallesi,https://www.emlakjet.com//ilan/saraylar-mh-de-garaja-yakin-45-m2-11-esyali-ara-kat-apart-17085919/,,,,,,,,,,,,,,,
35,17085846,28 Mart 2025,28 Mart 2025,Konut,Kiralık,Daire,135 m²,140 m²,3+1,5-10,1.Kat,3,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,20.000TL, Pamukkale - Siteler Mahallesi,https://www.emlakjet.com//ilan/ender-uysal-gayrimenkulden-siteler-de-31-kiralik-lux-daire-17085846/,,,,,,1765,4,,,,,,,,
36,17085542,28 Mart 2025,28 Mart 2025,Konut,Kiralık,Daire,55 m²,60 m²,2+1,5-10,2.Kat,4,Yerden Isıtma,Boş,,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,16.000TL, Pamukkale - Yunusemre Mahallesi,https://www.emlakjet.com//ilan/ender-uysal-gayrimenkulden-bursa-caddesinde-21-sifir-esyali-kiralik-apart-17085542/,,,,,,5239,20,,,,,,,,
37,17085421,28 Mart 2025,28 Mart 2025,Konut,Kiralık,Daire,125 m²,130 m²,2+1,5-10,2.Kat,2,Kombi Doğalgaz,Boş,Eşyalı,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,17.000TL, Pamukkale - Kınıklı Mahallesi,https://www.emlakjet.com//ilan/forum-camlik-avm-yakini-esyali-kiralik-daire-17085421/,,,,,,,,,,,,,,,
38,17085376,28 Mart 2025,03 Nisan 2025,Konut,Kiralık,Daire,70 m²,75 m²,2+1,4,2.Kat,4,Yerden Isıtma,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,15.000TL, Pamukkale - Atalar Mahallesi,https://www.emlakjet.com//ilan/atalar-da-arakat-on-cephe-genis-21-klimali-asansorlu-apart-17085376/,,,Yok,,Evet,2349,26,,İkinci El,Betonarme,1,,,,
39,17084013,28 Mart 2025,28 Mart 2025,Konut,Kiralık,Daire,55 m²,60 m²,1+1,0 (Yeni),1.Kat,4,Kombi Doğalgaz,Boş,Eşyalı,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,15.000TL, Pamukkale - Asmalıevler Mahallesi,https://www.emlakjet.com//ilan/hm-gayrimenkulden-universiteye-yakin-sifir-esyali-kiralik-apart-17084013/,,,,,,,,,,,,,,,
40,17083903,28 Mart 2025,28 Mart 2025,Konut,Kiralık,Daire,60 m²,70 m²,1+1,2,1.Kat,2,Yerden Isıtma,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,13.000TL, Merkezefendi - Mehmet Akif Ersoy Mahallesi,https://www.emlakjet.com//ilan/full-esya-29-ekim-bulvari-ozel-saglik-denipol-adliye-yakin-17083903/,,,,,,,,,,,,,,,
41,17082730,27 Mart 2025,28 Mart 2025,Konut,Kiralık,Daire,40 m²,45 m²,1+1,11-15,Bahçe Katı,4,Merkezi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,7.000TL, Pamukkale - Yunusemre Mahallesi,https://www.emlakjet.com//ilan/ender-uysal-gayrimenkulden-yunusemrede-hersey-dahil-11-bahcekati-apart-17082730/,,,,,,2383,4,,,,,,,,
42,17082251,27 Mart 2025,04 Nisan 2025,Konut,Kiralık,Daire,180 m²,200 m²,2+1,5-10,3.Kat,3,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,18.000TL, Merkezefendi - Selçuk Bey Mahallesi,https://www.emlakjet.com//ilan/denizli-selcukbey-de-180-m2-buyuk-terasli-kiralik-21-daire-17082251/,,,,,,178,9,,,,,,,,
43,17081765,27 Mart 2025,28 Mart 2025,Konut,Kiralık,Daire,75 m²,80 m²,2+1,4,Bahçe Katı,3,Kombi Doğalgaz,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Var,1,Genel Fiyat,15.000TL, Pamukkale - Kınıklı Mahallesi,https://www.emlakjet.com//ilan/ender-uysaldan-kampuste-kiralik-luks-esyali-21-apart-17081765/,,,Var,,,5438,12,,İkinci El,Betonarme,1,,,,
44,17081674,27 Mart 2025,28 Mart 2025,Konut,Kiralık,Daire,40 m²,45 m²,1+1,5-10,2.Kat,5,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,15.000TL, Pamukkale - Kınıklı Mahallesi,https://www.emlakjet.com//ilan/ender-uysal-gayrimenkulden-kinikli-da-11-kiralik-apart-17081674/,,,,,,1641,2,,,,,,,,
45,17081456,27 Mart 2025,28 Mart 2025,Konut,Kiralık,Daire,40 m²,45 m²,1+1,5-10,Çatı Katı,3,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,6.500TL, Pamukkale - İncilipınar Mahallesi,https://www.emlakjet.com//ilan/ender-uysal-gayrimenkulden-incilipinarda-kiralik-11-cati-kati-17081456/,,,,,,4569,5,,,,,,,,
46,17081393,27 Mart 2025,27 Mart 2025,Konut,Kiralık,Daire,50 m²,60 m²,2+1,5-10,3.Kat,3,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,14.000TL, Pamukkale - Asmalıevler Mahallesi,https://www.emlakjet.com//ilan/ender-uysal-gayrimenkulden-asmalievlerde-kiralik-21-lux-apart-17081393/,,,,,,2937,19,,,,,,,,
47,17081085,27 Mart 2025,28 Mart 2025,Konut,Kiralık,Daire,40 m²,45 m²,1+1,4,7.Kat,7,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,9.000TL, Pamukkale - Pelitlibağ Mahallesi,https://www.emlakjet.com//ilan/ender-uysal-gayrimenkul-den-pelitlibag-da-11-klimali-asansorlu-lux-daire-17081085/,,,,,,314,8,,,,,,,,
48,17080819,27 Mart 2025,27 Mart 2025,Konut,Kiralık,Daire,95 m²,100 m²,2+1,16-20,1.Kat,4,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,12.000TL, Merkezefendi - Sırakapılar Mahallesi,https://www.emlakjet.com//ilan/parselden-sirakapilarda-21-kiralik-daire-17080819/,,,Var,2,Hayır,2396,3,Açık Balkon,İkinci El,Betonarme,2,,,,
49,17079976,27 Mart 2025,28 Mart 2025,Konut,Kiralık,Daire,105 m²,110 m²,2+1,11-15,2.Kat,2,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,11.000TL, Pamukkale - Siteler Mahallesi,https://www.emlakjet.com//ilan/ender-uysal-gayrimenkulden-foruma-yakin-21-terasli-somineli-cati-kati-17079976/,,,,,,1812,9,,,,,,,,
50,17079247,26 Mart 2025,01 Nisan 2025,Konut,Kiralık,Daire,110 m²,125 m²,2+1,11-15,Bahçe Katı,3,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,14.500TL, Merkezefendi - Merkez Efendi Mahallesi,https://www.emlakjet.com//ilan/yenisehir-mahallesi-nde-kultur-merkezi-arkasi-21-120-m-bahce-kati-kiralik-daire-17079247/,1 TL,14000 TL,Var,1,,5532,2,Açık Balkon,,,2,,,,
51,17079008,26 Mart 2025,27 Mart 2025,Konut,Kiralık,Daire,130 m²,140 m²,3+1,21 Ve Üzeri,4.Kat,4,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,13.500TL, Pamukkale - Kuşpınar Mahallesi,https://www.emlakjet.com//ilan/mehmetcik-mahallesi-forum-camlik-ve-carsamba-pazari-yurume-mesafesinde-kiralik-daire-17079008/,100 TL,13500 TL,Var,,,2316,2,,,,,,,,
52,17077516,26 Mart 2025,26 Mart 2025,Konut,Kiralık,Daire,50 m²,60 m²,2+1,0 (Yeni),1.Kat,3,Kombi Doğalgaz,Boş,,Müstakil Tapulu,Hayır,,1,Genel Fiyat,13.000TL, Merkezefendi - Karaman Mahallesi,https://www.emlakjet.com//ilan/merkezi-konumda-kurumlara-yakin-kiralik-apart-sizlerle-17077516/,,,,,,402,15,,,,,,,,
53,17076611,26 Mart 2025,26 Mart 2025,Konut,Kiralık,Daire,100 m²,110 m²,2+1,5-10,2.Kat,4,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,,1,Birim Fiyat,14.000TL, Merkezefendi - Gümüşçay Mahallesi,https://www.emlakjet.com//ilan/tercih-den-gumuscay-da-kiralik-21-arakat-daire-17076611/,,,Var,1,,296,12,Açık Balkon,,,2,,,,
54,17076414,26 Mart 2025,31 Mart 2025,Konut,Kiralık,Daire,85 m²,100 m²,2+1,5-10,Yüksek Giriş,4,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,10.750TL, Merkezefendi - Karahasanlı Mahallesi,https://www.emlakjet.com//ilan/caliskan-dan-babadag-toki-de-21-kiralik-daire-17076414/,,,Var,,,428,4,,,,,,,,
55,17075107,26 Mart 2025,26 Mart 2025,Konut,Kiralık,Daire,45 m²,50 m²,1+1,5-10,3.Kat,5,Merkezi (Pay Ölçer),Boş,,Kat İrtifakı,Hayır,,1,Genel Fiyat,15.500TL, Pamukkale - Zeytinköy Mahallesi,https://www.emlakjet.com//ilan/tercih-ten-anayolda-universite-cerrahi-hastanesi-ferah-17075107/,,,Var,1,,2704,6,,,,,,,,
56,17075016,26 Mart 2025,28 Mart 2025,Konut,Kiralık,Daire,95 m²,100 m²,2+0,5-10,3.Kat,4,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,10.000TL, Merkezefendi - Karaman Mahallesi,https://www.emlakjet.com//ilan/ender-uysal-gayrimenkulden-karaman-mahallesin-de-20-balkonlu-kiralik-daire-17075016/,,,,,,4007,6,,,,,,,,
57,17074935,26 Mart 2025,26 Mart 2025,Konut,Kiralık,Daire,105 m²,128 m²,2+1,5-10,6.Kat,9,Yerden Isıtma,Boş,Boş,Kat Mülkiyeti,Evet,Yok,1,Genel Fiyat,30.000TL, Merkezefendi - Şemikler Mahallesi,https://www.emlakjet.com//ilan/deda-la-vida-sitesinde-peyzaj-cepheli-21-130m2-kiralik-daire-17074935/,,,,,,,,,,,,,,,
58,17072930,25 Mart 2025,25 Mart 2025,Konut,Kiralık,Daire,50 m²,55 m²,1+1,0 (Yeni),Kot 1 (-1).Kat,4,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,14.000TL, Pamukkale - Yunusemre Mahallesi,https://www.emlakjet.com//ilan/dur-al-gayrimenkulden-kiniklida-full-esyali-kiralik-luxx-apart-17072930/,,,,,,3120,10,,,,,,,,
59,17072105,25 Mart 2025,25 Mart 2025,Konut,Kiralık,Daire,85 m²,95 m²,2+1,16-20,4.Kat,4,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,13.000TL, Pamukkale - 15 Mayıs Mahallesi,https://www.emlakjet.com//ilan/era-fly-dan-cinar-a-cok-yakin-kiralik-daire-17072105/,,,,,,,,,,,,,,,
60,17072067,25 Mart 2025,25 Mart 2025,Konut,Kiralık,Daire,140 m²,150 m²,3+1,11-15,Bahçe Katı,5,Kombi Doğalgaz,Kiracı Oturuyor,,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,20.000TL, Merkezefendi - Çakmak Mahallesi,https://www.emlakjet.com//ilan/selcukbey-mahallesinde-kiralik-bahce-kati-17072067/,500 TL,20000 TL,Var,1,,234,4,,,,,,,,
